date,time,day_of_week,name,menu,price,place,tabelog_evaluation,tabelog_url
2022-04-17,13:00,Sunday,たぬき,生姜焼き定食,900,東京都世田谷区玉川 3-15-12 玉川３丁目マンション１１０号,3.43,https://tabelog.com/tokyo/A1317/A131708/13035659/
2022-04-23,12:30,Saturday,つけ麺 千兵衛,味玉つけ麵 中盛り,800,東京都世田谷区桜 1-66-5,3.25,https://tabelog.com/tokyo/A1318/A131813/13129306/
2022-05-01,12:30,Sunday,大阪王将,焼豚炒飯、元祖焼餃子(2人前),1310,東京都世田谷区世田谷3-1-1,3.01,https://tabelog.com/tokyo/A1317/A131709/13244553/
2022-05-02,17:00,Monday,カフェオン,イチゴバナナスムージー、チョコビンズ,2068,東京都新宿区百人町2-1-1 K－PLAZA 2F,3.22,https://tabelog.com/tokyo/A1304/A130404/13154649/
2022-05-02,20:00,Monday,赤から 新宿靖国通り店はなれ,【大満足】鍋放題3300円コース,4200,東京都新宿区歌舞伎町1-6-2 T-wingビル 3F,3.03,https://tabelog.com/tokyo/A1304/A130401/13198382/
2022-05-05,12:30,Thursday,キッチン南海 梅ヶ丘,しょうが焼き,730,東京都世田谷区梅丘1-22-12,3.46,https://tabelog.com/tokyo/A1318/A131812/13125395/
2022-05-06,19:00,Friday,炭火焼肉　きっちょう,etc,4200,千葉県市川市南八幡5-1-4 田中ビル 1Ｆ,3.26,https://tabelog.com/chiba/A1202/A120202/12032458/
2022-05-06,22:00,Friday,鳥貴族 本八幡南口店,etc,2000,千葉県市川市南八幡4-2-5 第三山喜ビル 2F,,
2022-05-15,14:45,Sunday,胡座,辛味つけ麺,1000,東京都墨田区両国4-35-1 タカシマ三共フラット 1F,3.55,https://tabelog.com/tokyo/A1312/A131201/13114683/
2022-05-21,18:15,Saturday,浜焼き海鮮居酒屋 魚寅水産,鮭親子丼,1000,東京都台東区上野7-2-1 南大門上野駅前ビル,3.07,https://tabelog.com/tokyo/A1311/A131101/13240325/
2022-05-21,19:20,Saturday,エクセルシオールカフェ 秋葉原ダイビル店,アイスココア M,,東京都千代田区外神田1-18-3 秋葉原ダイビル1・2階,3.07,https://tabelog.com/tokyo/A1310/A131001/13076550/
2022-05-22,6:00,Sunday,松屋 錦糸町北口店,ネギたっぷり旨辛ネギたま牛めし 並盛,520,東京都墨田区錦糸2-4-10 S川上ビル 1F,3.05,https://tabelog.com/tokyo/A1312/A131201/13138673/
2022-05-29,19:00,Sunday,ほんじょ屋,鮪メンチカツ定食,880,東京都墨田区江東橋2-16-9,3.38,https://tabelog.com/tokyo/A1312/A131201/13179013/
